hpo_id_phenotype,hpoID_Computable,Label,Synonyms,Description
HP:0001719,HP_0001719,Double outlet right ventricle,Double-outlet right ventricle|DORV,Double outlet right ventricle (DORV) is a type of ventriculoarterial connection in which both great vessels arise entirely or predominantly from the right ventricle.
HP:0100528,HP_0100528,Pleuropulmonary blastoma, ,A rare cancer originating in the lung or pleural cavity that occurs most often in infants and young children but also has been reported in adults. Pleuropulmonary blastoma is regarded as malignant.
HP:0012174,HP_0012174,Glioblastoma multiforme,Glioblastoma,"A tumor arising from glia in the central nervous system with macroscopic regions of necrosis and hemorrhage. Microscopically, glioblastoma multiforme is characterized by regions of pseudopalisading necrosis, pleomorphic nuclei and cells, and microvascular proliferation."
HP:0011662,HP_0011662,Tricuspid atresia,Tricuspid valve atresia,Failure to develop of the tricuspid valve and thus lack of the normal connection between the right atrium and the right ventricle.
HP:0007379,HP_0007379,Neoplasm of the genitourinary tract,Genitourinary tract neoplasm|Neoplasm of the GU tract|Genitourinary tract tumors,A tumor (abnormal growth of tissue) of the genitourinary system.
HP:0005882,HP_0005882,Dermatoglyphic variants, , 
HP:0012570,HP_0012570,Synovial sarcoma,Malignant synovioma,"A type of mesenchymal tissue cell tumor that exhibits epithelial differentiation, which most frequently arises in the extremities."
HP:0006743,HP_0006743,Embryonal rhabdomyosarcoma, , 
HP:0010796,HP_0010796,Brainstem glioma, ,A glioma affecting the brainstem.
HP:0030260,HP_0030260,Microphallus, ,Length of penis more than 2 SD below the mean for age accompanied by hypospadias.
HP:0012516,HP_0012516,Tetralogy of Fallot with pulmonary atresia, ,An extreme form of tetralogy of Fallot characterized by absence of flow from the right ventricle to the pulmonary arteries.
HP:0011651,HP_0011651,Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis,DORV with doubly committed VSD and pulmonary stenosis,"A double outlet right ventricle with a subaortic ventritricular septal defect (a hole between the two bottom chambers (ventricles) of the heart), that extends anterosuperiorly and are closely related to the pulmonary artery as well, are considered to be doubly committed. There is associated pulmonary stenosis, the abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches."
HP:0000808,HP_0000808,Penoscrotal hypospadias, ,A severe form of hypospadias in which the urethral opening is located at the junction of the penis and scrotum.
HP:0010614,HP_0010614,Fibroma, ,"Benign tumors that are composed of fibrous or connective tissue. They can grow in all organs, arising from mesenchyme tissue. The term ""fibroblastic"" or ""fibromatous"" is used to describe tumors of the fibrous connective tissue. When the term fibroma is used without modifier, it is usually considered benign, with the term fibrosarcoma reserved for malignant tumors."
HP:0011578,HP_0011578,Transitional atrioventricular canal defect, ,"A specific combination of heart defects with a primum atrial septal defect, cleft anterior mitral valve leaflet, and an inlet ventricular septal defect. There are two valve annuli and two valve orifices."
HP:0003363,HP_0003363,Abdominal situs inversus,Situs inversus viscerum|Situs inversus visceralis,"A left-right reversal (or ""mirror reflection"") of the anatomical location of the viscera of the abdomen."
HP:0000055,HP_0000055,Abnormality of female external genitalia,Abnormal female external genitalia,An abnormality of the female external genitalia.
HP:0002893,HP_0002893,Pituitary adenoma,Noncancerous tumor in pituitary gland,A benign epithelial tumor derived from intrinsic cells of the adenohypophysis.
HP:0002762,HP_0002762,Multiple exostoses, ,"Presence of more than one exostosis. An exostosis is a benign growth the projects outward from the bone surface. It is capped by cartilage, and arises from a bone that develops from cartilage."
HP:0012226,HP_0012226,Ovarian teratoma, ,The presence of a teratoma in the ovary.
HP:0100336,HP_0100336,Bilateral cleft lip,Both sided cleft lip|Bilateral cheiloschisis|Right and left cleft lip,A non-midline cleft of the upper lip on the left and right sides.
HP:0001539,HP_0001539,Omphalocele,Omphalocoele,A midline anterior incomplete closure of the abdominal wall in which there is herniation of the abdominal viscera into the base of the abdominal cord.
HP:0002247,HP_0002247,Duodenal atresia,Absence or narrowing of first part of small bowel,"A developmental defect resulting in complete obliteration of the duodenal lumen, that is, an abnormal closure of the duodenum."
HP:0011555,HP_0011555,Double inlet left ventricle, ,"The condition in which both atria are joined to the left ventricle each by its own atrioventricular valve. Usually there is a hypoplastic right ventricle, which may be on the opposite side of the heart as usual."
HP:0000150,HP_0000150,Gonadoblastoma, ,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements."
HP:0002435,HP_0002435,Meningocele, ,Protrusion of the meninges through a defect of the vertebral column.
HP:0011579,HP_0011579,Unbalanced atrioventricular canal defect,Unbalanced atrioventricular septal defect,"Anatomic features of unbalanced atrioventricular septal defect (AVSD) include varying amounts of ventricular hypoplasia, as well as malalignment of the atrioventricular junction. In complete AVSD, the common AV valve can be situated either equally over the right and left ventricles (balanced) or unequally over the ventricles (unbalanced)."
HP:0002654,HP_0002654,Multiple epiphyseal dysplasia, , 
HP:0011819,HP_0011819,Submucous cleft soft palate,Submucous cleft velum|Partial thickness cleft soft palate,A cleft of the muscular (soft) portion of the palate that is covered by mucous membrane. Soft-palate submucous clefts are characterized by a midline deficiency or lack of muscle tissue.
HP:0030448,HP_0030448,Soft tissue sarcoma,Soft tissue sarcomas,"A type of sarcoma (A connective tissue neoplasm formed by proliferation of mesodermal cells) that develops from soft tissues like fat, muscle, nerves, fibrous tissues, blood vessels, or deep skin tissues."
HP:0012254,HP_0012254,Ewing sarcoma,Ewing sarcoma|Ewing's sarcoma,"A malignant tumor of the bone which always arises in the medullary tissue, occurring more often in cylindrical bones."
HP:0005301,HP_0005301,Persistent left superior vena cava,PLSVC,A rare congenital vascular anomaly that results when the left superior cardinal vein caudal to the innominate vein fails to regress.
HP:0005547,HP_0005547,Myeloproliferative disorder, ,Proliferation (excess production) of hemopoietically active tissue or of tissue which has embryonic hemopoietic potential.
HP:0011683,HP_0011683,Restrictive ventricular septal defect, ,Any ventricular septal defect (VSD) that is small enough to restrict flow across it such that a pressure gradient exists between the two sides of the VSD.
HP:0003304,HP_0003304,Spondylolysis, ,"Spondylolysis is an osseous defect of the pars interarticularis, thought to be a developmental or acquired stress fracture secondary to chronic low-grade trauma."
HP:0004383,HP_0004383,Hypoplastic left heart,Left ventricular hypoplasia|Underdeveloped left heart|Heart left ventricle hypoplasia,Underdevelopment of the left side of the heart. May include atresia of the aortic or mitral orifice and hypoplasia of the ascending aorta.
HP:0010301,HP_0010301,Spinal dysraphism,Incomplete closure of the vertebral arch,A heterogeneous group of congenital spinal anomalies that result from defective closure of the neural tube early in fetal life.
HP:0001305,HP_0001305,Dandy-Walker malformation,Dandy-Walker cyst|Dandy-walker anomaly,"A congenital brain malformation typically characterized by incomplete formation of the cerebellar vermis, dilation of the fourth ventricle, and enlargement of the posterior fossa. In layman's terms, Dandy Walker malformation is a cyst in the cerebellum (typically symmetrical) that is involved with the fourth ventricle. This may interfere with the ability to drain cerebrospinal fluid from the brain, resulting in hydrocephalus. Dandy Walker cysts are formed during early embryonic development, while the brain forms. The cyst in the cerebellum typically has several blood vessels running through it connecting to the brain, thereby prohibiting surgical removal."
HP:0001651,HP_0001651,Dextrocardia,Thoracic situs inversus|Heart tip and four chambers point towards right side of body,"The heart is located in the right hand sided hemithorax. That is, there is a left-right reversal (or ""mirror reflection"") of the anatomical location of the heart in which the heart is locate on the right side instead of the left."
HP:0030853,HP_0030853,Heterotaxy,Heterotaxia,An abnormality in which the internal thoraco-abdominal organs demonstrate abnormal arrangement across the left-right axis of the body.
HP:0011340,HP_0011340,Incomplete cleft of the upper lip,Forme fruste unilateral cleft lip|Incomplete cheiloschisis|Partial cleft of the upper lip|Incomplete cleft of the upper lip|Notched cleft of the upper lip,"A subtle unilateral cleft of the upper lip, which may appear as a small indentation."
HP:0100008,HP_0100008,Schwannoma,Schwann cell tumor|Neurinoma|Neurolemmoma|Neurilemmoma|Schwann cell tumour,A benign nerve sheath tumor composed of Schwann cells.
HP:0000086,HP_0000086,Ectopic kidney,Renal ectopia|Abnormal kidney location|Ectopic kidneys|Displaced kidney,A developmental defect in which a kidney is located in an abnormal anatomic position.
HP:0410264,HP_0410264,Subglottic hemangioma,Airway hemangioma,"A hemangioma, a benign tumor of the vascular endothelial cells, located in the airway, typically below the vocal chords, that can cause severe obstruction of the airway."
HP:0100568,HP_0100568,Neoplasm of the endocrine system,Endocrine neoplasia,A tumor (abnormal growth of tissue) of the endocrine system.
HP:0031068,HP_0031068,Increased femoral torsion, ,"Femoral torsion, also known as femoral rotation or femoral version, refers to the twist between the proximal and distal parts of the femur on the transverse plane. Femoral anteversion averages between 30-40 degress at birth, and between 8-14 degrees in adults. This term applies if the amount of femoral torsion exceeds this range."
HP:0012888,HP_0012888,Abnormality of the uterine cervix, ,"An anomaly of the neck of the uterus (lower part of the uterus), called the uterine cervix."
HP:0001062,HP_0001062,Atypical nevus,Atypical mole,"A large pigmented lesion measuring 5-15 mm in diameter with irregular, notched, and ill defined border and with color that may range from tan to dark brown to pink."
HP:0002865,HP_0002865,Medullary thyroid carcinoma, ,The presence of a medullary carcinoma of the thyroid gland.
HP:0003005,HP_0003005,Ganglioneuroma, ,"A benign neoplasm that usually arises from the sympathetic trunk in the mediastinum, representing a tumor of the sympathetic nerve fibers arising from neural crest cells."
HP:0004439,HP_0004439,Craniofacial dysostosis,Crouzon syndrome,A characteristic appearance resulting from defective ossification of craniofacial bones.
HP:0001067,HP_0001067,Neurofibromas,Neurofibromatosis|Neurofibromata,The presence of multiple cutaneous neurofibromas.
HP:0000201,HP_0000201,Pierre-Robin sequence,Robin sequence|Pierre-robin malformation|Pierre-robin deformity|Pierre-robin anomaly|Pierre Robin sequence,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate."
HP:0009792,HP_0009792,Teratoma, ,The presence of a teratoma.
HP:0000476,HP_0000476,Cystic hygroma,Cystic hygroma of the neck,A cystic lymphatic lesion of the neck.
HP:0010636,HP_0010636,Schizencephaly, ,"The presence of a cleft in the cerebral cortex unilaterally or bilaterally, usually located in the frontal area."
HP:0002667,HP_0002667,Nephroblastoma,Wilm's tumor|Wilms tumor,"The presence of a nephroblastoma, which is a neoplasm of the kidney that primarily affects children."
HP:0005534,HP_0005534,Transient myeloproliferative syndrome,Transient leukemia of Down syndrome|TMD|Transient myeloproliferative disorder,"A unique clonal neoplastic disorder that is linked to trisomy 21, is restricted to neonatal period, and spontaneously regresses. It often has characteristics of megakaryocytic lineage and is associated with GATA1 mutations in myeloblasts."
HP:0000960,HP_0000960,Sacral dimple,Pilonidal dimple|Spinal dimple,A cutaneous indentation resulting from tethering of the skin to underlying structures (bone) of the intergluteal cleft.
HP:0000039,HP_0000039,Epispadias, ,Displacement of the urethral opening on the dorsal (superior) surface of the penis.
HP:0000175,HP_0000175,Cleft palate,Cleft of palate|Cleft hard and soft palate|Cleft palate|Cleft of hard and soft palate|Cleft roof of mouth|Palatoschisis|Uranostaphyloschisis,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).
HP:0100628,HP_0100628,Esophageal diverticulum,Esophageal pouch,The presence of a diverticulum of the esophagus.
HP:0000973,HP_0000973,Cutis laxa,Elastolysis|Inelastic skin|Chalazoderma|Skin laxity|Loose skin|Cutaneous laxity|Dermatomegaly|Generalized elastolysis|Dermatochalasia|Loose and inelastic skin|Hypoelastic skin|Lax skin,"Wrinkled, redundant, inelastic and sagging skin."
HP:0002860,HP_0002860,Squamous cell carcinoma, ,The presence of squamous cell carcinoma of the skin.
HP:0200151,HP_0200151,Cutaneous mastocytosis, ,Multifocal dense infiltrates of mast cells in cutaneous tissue.
HP:0100495,HP_0100495,Mastocytosis, ,The presence of an increased number of mast cells and CD34+ mast cell precursors in the body.
HP:0030426,HP_0030426,Ossifying fibroma, ,A benign central bone tumor composed of fibrous connective tissue within which bone is formed.
HP:0100834,HP_0100834,Neoplasm of the large intestine,Large intestine tumor,The presence of a neoplasm of the large intestine.
HP:0000122,HP_0000122,Unilateral renal agenesis,Absent kidney on one side|Missing one kidney|Unilateral kidney agenesis|Single kidney,A unilateral form of agenesis of the kidney.
HP:0012584,HP_0012584,Bilateral renal hypoplasia, ,Two sided hypoplasia of the kidney.
HP:0012583,HP_0012583,Unilateral renal hypoplasia,Underdeveloped kidney on one side|Small kidney on one side,One sided hypoplasia of the kidney.
HP:0000787,HP_0000787,Nephrolithiasis,Renal stones|Renal calculi|Kidney stones,The presence of calculi (stones) in the kidneys.
HP:0000089,HP_0000089,Renal hypoplasia,Hypoplastic kidneys|Small kidneys|Hypoplastic kidney|Underdeveloped kidneys,Hypoplasia of the kidney.
HP:0000793,HP_0000793,Membranoproliferative glomerulonephritis,MPGN|Mesangiocapillary glomerulonephritis,"A type of glomerulonephritis characterized by diffuse mesangial cell proliferation and the thickening of capillary walls due to subendothelial extension of the mesangium. The term membranoproliferative glomerulonephritis is often employed to denote a general pattern of glomerular injury seen in a variety of disease processes that share a common pathogenetic mechanism, rather than to describe a single disease entity"
HP:0000078 ,HP_0000078 ,Key ID HP_0000078  may be badly formatted., , 
HP:0030038;,HP_0030038;,Key ID HP_0030038; may be badly formatted., , 
HP:0001028,HP_0001028,Hemangioma,Strawberry mark,"A hemangioma is a benign tumor characterized by blood-filled spaces lined by benign endothelial cells. A hemangioma characterized by large endothelial spaces (caverns) is called a cavernous hemangioma (in contrast to a hemangioma with small endothelial spaces, which is called capillary hemangioma)."
HP:0030038,HP_0030038,Enchondroma, ,"A solitary, benign, intramedullary cartilage tumor that is often found in the short tubular bones of the hands and feet, distal femur, and proximal humerus."
HP:0004322,HP_0004322,Short stature,Stature below 3rd percentile|Short stature|Small stature|Decreased body height|Height less than 3rd percentile,"A height below that which is expected according to age and gender norms. Although there is no universally accepted definition of short stature, many refer to ""short stature"" as height more than 2 standard deviations below the mean for age and gender (or below the 3rd percentile for age and gender dependent norms)."
HP:0000682,HP_0000682,Abnormality of dental enamel,Enamel abnormalities|Abnormal tooth enamel|Enamel abnormality,An abnormality of the dental enamel.
HP:0003086,HP_0003086,Acromesomelia, ,Small hands and feet.
HP:0000766,HP_0000766,Abnormal sternum morphology,Abnormality of the sternum|Pectus excavatum/carinatum|Pectus deformities|Pectus excavatum or carinatum|Pectus carinatum or pectus excavatum|Pectus excavatum or pectus carinatum|Pectus deformity|Sternal anomalies,"An anomaly of the sternum, also known as the breastbone."
HP:0001156,HP_0001156,Brachydactyly,Brachydactyly syndrome|Short fingers or toes,Digits that appear disproportionately short compared to the hand/foot. The word brachydactyly is used here to describe a series distinct patterns of shortened digits (brachydactyly types A-E). This is the sense used here.
HP:0000431,HP_0000431,Wide nasal bridge,"Increased width of nasal bridge|Widened nasal bridge|Broadened nasal bridge|Nasal bridge broad|Broad nasal bridge|Increased breadth of bridge of nose|Nasal bridge, wide|Increased width of bridge of nose|Broad nasal root|Wide bridge of nose|Wide nasal bridge|Increased breadth of nasal bridge","Increased breadth of the nasal bridge (and with it, the nasal root)."
HP:0000286,HP_0000286,Epicanthus,Eye folds|Prominent eye folds|Plica palpebronasalis|Epicanthal folds|Epicanthal fold|Palpebronasal fold|Epicanthic folds,"A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus."
HP:0100777,HP_0100777,Exostoses,Formation of new noncancerous bone on top of existing bone,"An exostosis is a benign growth the projects outward from the bone surface. It is capped by cartilage, and arises from a bone that develops from cartilage."
HP:0000736,HP_0000736,Short attention span,Problem paying attention|Poor attention span|Short attention span,Reduced attention span characterized by distractibility and impulsivity but not necessarily satisfying the diagnostic criteria for attention deficit hyperactivity disorder.
HP:0002808,HP_0002808,Kyphosis,Hunched back|Gibbus deformity|Round back|Hyperkyphosis,Exaggerated anterior convexity of the thoracic vertebral column.
HP:0005105,HP_0005105,Abnormal nasal morphology,Abnormal of nasal shape|Abnormal nose morphology|Abnormal of morphology of nose|Abnormal of shape of nose, 
HP:0008905,HP_0008905,Rhizomelia,"Rhizomelic short stature|Disproportionately short upper portion of limb|Symmetrical rhizomelic limb shortening|Short stature, rhizomelic|Rhizomelic shortening|Rhizomelic dwarfism|Rhizomelic limb shortening|Rhizomelic short limbs",Disproportionate shortening of the proximal segment of limbs (i.e. the femur and humerus).
HP:0002571,HP_0002571,Achalasia,Achalasia of the esophagus,A disorder of esophageal motility characterized by the inability of the lower esophageal sphincter to relax during swallowing and by inadequate or lacking peristalsis in the lower half of the body of the esophagus.
HP:0004209,HP_0004209,Clinodactyly of the 5th finger,Fifth finger clinodactyly|Clinodactyly of fifth digit|Bilateral fifth finger clinodactyly|Clinodactyly of the little finger|Bilateral fifth digit clinodactyly|Permanent curving of the pinkie finger,"Clinodactyly refers to a bending or curvature of the fifth finger in the radial direction (i.e., towards the 4th finger)."
HP:0001555,HP_0001555,Asymmetry of the thorax,Asymmetric chest,Lack of symmetry between the left and right halves of the thorax.
HP:0100559,HP_0100559,Lower limb asymmetry,Left and right leg differ in length or width,A difference in length or diameter between the left and right leg.
HP:0000698,HP_0000698,Conical tooth,Peg-shaped teeth|Shark tooth|Peg tooth|Cone shaped tooth|Peg shaped teeth|Conoid tooth,"An abnormal conical form of the teeth, that is, a tooth whose sides converge or taper together incisally."
HP:0008922,HP_0008922,Childhood-onset short-trunk short stature,"Disproportionate short-trunk short stature, identifiable in childhood|Childhood-onset short-trunk short stature|Short-trunk dwarfism identifiable during childhood",A type of disproportionate short stature characterized by a short trunk but a average-sized limbs with onset in childhood.
HP:0009767,HP_0009767,Aplasia/Hypoplasia of the phalanges of the hand,Hypoplastic/absent phalanges|Aplastic/hypoplastic phalanges|Aplastic/hypoplastic phalanges of the hand,Small or missing phalangeal bones of the fingers of the hand.
HP:0010746,HP_0010746,Hypoplasia of the phalanges of the toes,Small toe bones, 
HP:0002007,HP_0002007,Frontal bossing,Frontal protruberance|Skull bossing,Bilateral bulging of the lateral frontal bone prominences with relative sparing of the midline.
HP:0000902,HP_0000902,Rib fusion,Fused ribs|Rib fusion,Complete or partial merging of adjacent ribs.
HP:0002867,HP_0002867,Abnormality of the ilium,Iliac abnormalities,"An abnormality of the ilium, the largest and uppermost bone of the pelvis."
HP:0000691,HP_0000691,Microdontia,Small teeth|Decreased width of tooth,"Decreased size of the teeth, which can be defined as a mesiodistal tooth diameter (width) more than 2 SD below mean. Alternatively, an apparently decreased maximum width of tooth."
HP:0003312,HP_0003312,Abnormal form of the vertebral bodies,Abnormally shaped vertebrae,Abnormal morphology of vertebral body.
HP:0000926,HP_0000926,Platyspondyly,Flattened vertebral bodies|Flattened vertebrae|Flat vertebral bodies,A flattened vertebral body shape with reduced distance between the vertebral endplates.
HP:0006349,HP_0006349,Agenesis of permanent teeth,Absence of permanent teeth|Agenesis of secondary dentition|Agenesis of permanent dentition|Failure of development of permanent teeth|Absent permanent teeth|Failure of development of secondary teeth|Missing teeth,"A congenital defect characterized by the absence of one or more permanent teeth, including oligodontia, hypodontia, and adontia of the of permanent teeth."
HP:0000470,HP_0000470,Short neck,Cervical shortening|Decreased cervical length|Decreased length of neck|Short neck|Decreased cervical height,Diminished length of the neck.
HP:0000486,HP_0000486,Strabismus,Cross-eyed|Squint|Squint eyes,"A misalignment of the eyes so that the visual axes deviate from bifoveal fixation. The classification of strabismus may be based on a number of features including the relative position of the eyes, whether the deviation is latent or manifest, intermittent or constant, concomitant or otherwise and according to the age of onset and the relevance of any associated refractive error."
HP:0000329,HP_0000329,Facial hemangioma,Facial hemangiomata,"Hemangioma, a benign tumor of the vascular endothelial cells, occurring in the face."
HP:0005116,HP_0005116,Arterial tortuosity, ,"Abnormal tortuous (i.e., twisted) form of arteries."
HP:0005344,HP_0005344,Abnormal carotid artery morphology,Abnormality of the carotid arteries,"Any structural abnormality of the carotid arteries, including the common carotid artery and its' arterial branches."
HP:0100545,HP_0100545,Arterial stenosis,Narrowing of an artery,Narrowing or constriction of the inner surface (lumen) of an artery.
HP:0100659,HP_0100659,Abnormality of the cerebral vasculature,Abnormality of the cerebral blood vessels, 
HP:0410271,HP_0410271,Laryngeal hemangioma,Throat hemangioma,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the glottic or supraglottic regions."
HP:0001321,HP_0001321,Cerebellar hypoplasia,Congenital cerebellar hypoplasia|Underdeveloped cerebellum|Small cerebellum|Hypoplasia of cerebellum|Hypoplastic cerebellum,Underdevelopment of the cerebellum.
HP:0001680,HP_0001680,Coarctation of aorta,Aortic coarctation|Narrowing of the aorta|Narrowing of aorta|Coarctation of the aorta,Coarctation of the aorta is a narrowing or constriction of a segment of the aorta.
HP:0004942,HP_0004942,Aortic aneurysm,Bulge in wall of large artery that carries blood away from heart|Aortic dilatation,"Aortic dilatation refers to a dimension that is greater than the 95th percentile for the normal person age, sex and body size. In contrast, an aneurysm is defined as a localized dilation of the aorta that is more than 150 percent of predicted (ratio of observed to expected diameter 1.5 or more). Aneurysm should be distinguished from ectasia, which represents a diffuse dilation of the aorta less than 50 percent of normal aorta diameter."
HP:0410276,HP_0410276,Supraumbilical raphe,Midline supraumbilical raphe,"An abnormality of the sternum that presents at birth as a ventral sternal non-union defect, due to an abnormality of the fusion of the layers of the skin. It presents as a scar-like line that extends upward from the umbilicus (belly button)."
HP:0010309,HP_0010309,Bifid sternum,Sternal cleft,The sternal cleft is a rare congenital anomaly resulting from a fusion failure of the sternum.
HP:0000365,HP_0000365,Hearing impairment,Deafness|Hearing defect|Hearing impairment|Hypacusis,A decreased magnitude of the sensory perception of sound.
HP:0410277,HP_0410277,Sternal pit, ,"A sternal pit is a small indentation or dimple in the skin overlying the sternum of the chest. In some cases, the skin defect can be linear, extending several inches over the sternum."
HP:0410287,HP_0410287,Intrathoracic hemangioma,Chest hemangioma,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the intrathoracic or chest region."
HP:0006628,HP_0006628,Absent sternal ossification,Absent sternal mineralization|Lack of sternal ossification,Lack of formation of mineralized bony tissue of the sternum.
HP:0410265,HP_0410265,Supraglottic hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, located in the upper part of the larynx (voice box) including the epiglottis; the area above the vocal cords."
HP:0001629,HP_0001629,Ventricular septal defect,Hole in heart wall separating two lower heart chambers|Ventriculoseptal defect|Ventricular septal defects,A hole between the two bottom chambers (ventricles) of the heart. The defect is centered around the most superior aspect of the ventricular septum.
HP:0006687,HP_0006687,Aortic tortuosity, ,"Abnormal tortuous (i.e., twisted) form of the aorta."
HP:0000609,HP_0000609,Optic nerve hypoplasia,Hypoplastic optic nerves|Underdeveloped optic nerves,Underdevelopment of the optic nerve.
HP:0001320,HP_0001320,Cerebellar vermis hypoplasia,Cerebellar vermal hypoplasia|Hypoplasia of the cerebellar vermis|Hypoplastic cerebellar vermis,Underdevelopment of the vermis of cerebellum.
HP:0000407,HP_0000407,Sensorineural hearing impairment,"Sensorineural deafness|Sensorineural hearing loss|Hearing loss, sensorineural",A type of hearing impairment in one or both ears related to an abnormal functionality of the cochlear nerve.
HP:0012506,HP_0012506,Small pituitary gland, ,An abnormally decreased size of the pituitary gland.
HP:0410270,HP_0410270,Esophageal hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the esophagus."
HP:0012020,HP_0012020,Right aortic arch,Right-sided aortic arch,Aorta descends on right instead of on the left.
HP:0010795,HP_0010795,Cerebellar glioma, ,A glioma affecting the cerebellum.
HP:0410278,HP_0410278,Pituitary gland cyst,Cyst of the pituitary gland,A fluid-filled sacs that develop on or near the pituitary gland.
HP:0000405,HP_0000405,Conductive hearing impairment,"Conductive deafness|Conduction deafness|Hearing loss, conductive|Conductive hearing loss",An abnormality of vibrational conductance of sound to the inner ear leading to impairment of sensory perception of sound.
HP:0031207,HP_0031207,Hepatic hemangioma,Liver hemangioma|Hemangioma of the liver,A congenital vascular malformation in the liver composed of masses of blood vessels that are atypical or irregular in arrangement and size.
HP:0025245,HP_0025245,Cutaneous cyst, ,A hollow mass located in the skin that is surrounded by an epithelium-lined wall and is well demarcated from the adjacent tissue. Cysts are often said to be sac-like and may contain serous liquid or semisolid material.
HP:0410268,HP_0410268,Spleen hemangioma,Splenic hemangioma,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the spleen."
HP:0001636,HP_0001636,Tetralogy of Fallot,Tetrology of fallot,"A congenital cardiac malformation comprising pulmonary stenosis, overriding aorta, ventricular septum defect, and right ventricular hypertrophy. The diagnosis of TOF is made if at least three of the four above mentioned features are present."
HP:0000648,HP_0000648,Optic atrophy,Optic nerve atrophy|Optic-nerve degeneration,Atrophy of the optic nerve. Optic atrophy results from the death of the retinal ganglion cell axons that comprise the optic nerve and manifesting as a pale optic nerve on fundoscopy.
HP:0002059,HP_0002059,Cerebral atrophy,Degeneration of cerebrum,"Atrophy (wasting, decrease in size of cells or tissue) affecting the cerebrum."
HP:0002365,HP_0002365,Hypoplasia of the brainstem,Hypoplastic brainstem|Hypoplastic brain stem|Underdeveloped brainstem|Small brainstem|Brainstem hypoplasia,Underdevelopment of the brainstem.
HP:0002616,HP_0002616,Aortic root aneurysm,Increased aortic root diameter|Bulge in wall of root of large artery that carries blood away from heart,An abnormal localized widening (dilatation) of the aortic root.
HP:0410279,HP_0410279,Atrophic pituitary gland,Pituitary gland atrophy|Atrophic pituitary,Partial or complete wasting (loss) of the pituitary gland.
HP:0004944,HP_0004944,Dilatation of the cerebral artery, ,The presence of a localized dilatation or ballooning of a cerebral artery.
HP:0007033,HP_0007033,Cerebellar dysplasia, ,The presence of dysplasia (abnormal growth or development) of the cerebellum. Cerebellar dysplasia is a neuroimaging finding that describes abnormalities of both the cerebellar cortex and white matter and is associated with variable neurodevelopmental outcome.
HP:0001631,HP_0001631,Atrial septal defect,ASD|Hole in heart wall separating two upper heart chambers|Atria septal defect|Defect in the atrial septum|An opening in the wall separating the top two chambers of the heart|Atrial septum defect,Atrial septal defect (ASD) is a congenital abnormality of the interatrial septum that enables blood flow between the left and right atria via the interatrial septum.
HP:0410273,HP_0410273,Retropharyngeal hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the retropharyngeal space, the portion of the peripharyngeal space that is located posterior to the pharynx."
HP:0001317,HP_0001317,Abnormal cerebellum morphology,Abnormality of the cerebellum|Cerebellar abnormalities|Cerebellar signs|Cerebellar anomaly|Cerebellar abnormality,Any structural abnormality of the cerebellum.
HP:0011590,HP_0011590,Double aortic arch, ,"A conenital abnormality of the aortic arch in which the two embryonic aortc arches form a vascular ring that surrounds the trachea or esophagus and then join to form the descending aorta. Double aortic arch can cause symptoms because of compression of the esophagus (dysphagia, cyanosis while eating) or trachea (stridor)."
HP:0011611,HP_0011611,Interrupted aortic arch,Atretic transverse aortic arch,Non-continuity of the arch of aorta with an atretic point or absent segment.
HP:0410266,HP_0410266,Visceral hemangioma, ,"A hemangioma arising from within visceral structures, the internal organs of the body."
HP:0010609,HP_0010609,Skin tags,Acrochorda,"Cutaneous skin tags also known as acrochorda or fibroepithelial polyps are small benign tumours that may either form secondarily over time primarily in areas where the skin forms creases, such as the neck, armpit or groin or may also be present at birth, in which case they usually occur in the periauricular region."
HP:0004970,HP_0004970,Ascending tubular aorta aneurysm,Dilatation of ascending aorta|Aneurysm of the ascending tubular aorta|Ascending aortic aneurysm|Ascending aortic dilation|Bulging of wall of large artery located above heart,An abnormal localized widening (dilatation) of the tubular part of the ascending aorta.
HP:0002126,HP_0002126,Polymicrogyria,More grooves in brain,Polymicrogyria is a congenital malformation of the cerebral cortex characterized by abnormal cortical layering (lamination) and an excessive number of small gyri (folds).
HP:0410267,HP_0410267,Intestinal hemangioma,Intestinal hemangioma|Bowel hemangioma,"A hemangioma, a benign tumor of the vascular endothelial cells, located in the intestines, which includes the bowel."
HP:0410274,HP_0410274,Paraspinal hemangioma, ,"A hemangioma, a benign tumor of the vascular endothelial cells, that is located in the paraspinal muscular region, the muscles next to the spine."
