p1,p1l,p2,p2l
http://purl.obolibrary.org/obo/MP_0001267,enlarged chest (MPO),http://purl.obolibrary.org/obo/HP_0100625,Enlarged thorax (HPO)
http://purl.obolibrary.org/obo/ZP_0100134,"melanocyte amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0012780,"melanocyte head amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0133557,increased apoptosis in trunk region (XPO),http://purl.obolibrary.org/obo/XPO_0133943,increased apoptosis in trunk (XPO)
http://purl.obolibrary.org/obo/HP_0000953,Hyperpigmentation of the skin (HPO),http://purl.obolibrary.org/obo/MP_0030926,increased skin pigmentation (MPO)
http://purl.obolibrary.org/obo/HP_0003083,Dislocated radial head (HPO),http://purl.obolibrary.org/obo/MP_0030883,dislocated radius head (MPO)
http://purl.obolibrary.org/obo/HP_0006266,Small placenta (HPO),http://purl.obolibrary.org/obo/MP_0004259,small placenta (MPO)
http://purl.obolibrary.org/obo/HP_0004404,Abnormal nipple morphology (HPO),http://purl.obolibrary.org/obo/MP_0006078,abnormal nipple morphology (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000640,egg laying variant (WBP),http://purl.obolibrary.org/obo/FBcv_0006004,oviposition defective (DPO)
http://purl.obolibrary.org/obo/HP_0011979,Elevated urinary dopamine (HPO),http://purl.obolibrary.org/obo/MP_0030768,increased urine dopamine level (MPO)
http://purl.obolibrary.org/obo/HP_0002410,Aqueductal stenosis (HPO),http://purl.obolibrary.org/obo/MP_0002958,cerebral aqueductal stenosis (MPO)
http://purl.obolibrary.org/obo/MP_0000135,decreased compact bone thickness (MPO),http://purl.obolibrary.org/obo/HP_0002753,Thin bony cortex (HPO)
http://purl.obolibrary.org/obo/MP_0001957,apnea (MPO),http://purl.obolibrary.org/obo/HP_0002104,Apnea (HPO)
http://purl.obolibrary.org/obo/HP_0001321,Cerebellar hypoplasia (HPO),http://purl.obolibrary.org/obo/MP_0000851,cerebellum hypoplasia (MPO)
http://purl.obolibrary.org/obo/HP_0012373,Abnormal eye physiology (HPO),http://purl.obolibrary.org/obo/MP_0005253,abnormal eye physiology (MPO)
http://purl.obolibrary.org/obo/HP_0000836,Hyperthyroidism (HPO),http://purl.obolibrary.org/obo/MP_0003502,increased activity of thyroid gland (MPO)
http://purl.obolibrary.org/obo/MP_0002865,increased growth rate (MPO),http://purl.obolibrary.org/obo/ZP_0131161,"growth increased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0003130,anal atresia (MPO),http://purl.obolibrary.org/obo/HP_0002023,Anal atresia (HPO)
http://purl.obolibrary.org/obo/MP_0000066,osteoporosis (MPO),http://purl.obolibrary.org/obo/HP_0000939,Osteoporosis (HPO)
http://purl.obolibrary.org/obo/XPO_0100489,abnormal vitelline vein (XPO),http://purl.obolibrary.org/obo/XPO_0100793,abnormal omphalomesenteric vein (XPO)
http://purl.obolibrary.org/obo/MP_0000937,abnormal motor neuron morphology (MPO),http://purl.obolibrary.org/obo/HP_0002450,Abnormal motor neuron morphology (HPO)
http://purl.obolibrary.org/obo/ZP_0000650,"lens decreased size, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0018944,"lens eye decreased size, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0003127,Hypocalciuria (HPO),http://purl.obolibrary.org/obo/MP_0002986,decreased urine calcium level (MPO)
http://purl.obolibrary.org/obo/XPO_0131477,absent visual behavior (XPO),http://purl.obolibrary.org/obo/ZP_0015039,"visual behavior absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0000752,"cardiac muscle cell increased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0014183,"cardiac muscle cell heart increased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0002375,Hypokinesia (HPO),http://purl.obolibrary.org/obo/MP_0005156,bradykinesia (MPO)
http://purl.obolibrary.org/obo/HP_0003354,Hyperthreoninemia (HPO),http://purl.obolibrary.org/obo/MP_0030703,increased circulating threonine level (MPO)
http://purl.obolibrary.org/obo/ZP_0009380,"swimming behavior absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131471,absent swimming behavior (XPO)
http://purl.obolibrary.org/obo/MP_0000827,dilated third ventricle (MPO),http://purl.obolibrary.org/obo/HP_0007082,Dilated third ventricle (HPO)
http://purl.obolibrary.org/obo/MP_0000538,abnormal urinary bladder morphology (MPO),http://purl.obolibrary.org/obo/HP_0025487,Abnormality of bladder morphology (HPO)
http://purl.obolibrary.org/obo/MP_0009092,endometrium hyperplasia (MPO),http://purl.obolibrary.org/obo/HP_0040298,Hyperplasia of the endometrium (HPO)
http://purl.obolibrary.org/obo/XPO_0127010,abnormally localised omphalomesenteric vein (XPO),http://purl.obolibrary.org/obo/XPO_0126963,abnormally localised vitelline vein (XPO)
http://purl.obolibrary.org/obo/MP_0003522,enlarged labia minora (MPO),http://purl.obolibrary.org/obo/HP_0008683,Enlarged labia minora (HPO)
http://purl.obolibrary.org/obo/FBcv_0000791,delayed aging (DPO),http://purl.obolibrary.org/obo/MP_0011614,slow aging (MPO)
http://purl.obolibrary.org/obo/ZP_0100734,"autophagy process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000736,autophagy variant (WBP)
http://purl.obolibrary.org/obo/HP_0025028,Abnormality of enteric nervous system morphology (HPO),http://purl.obolibrary.org/obo/MP_0001044,abnormal enteric nervous system morphology (MPO)
http://purl.obolibrary.org/obo/MP_0006164,ectropion (MPO),http://purl.obolibrary.org/obo/HP_0000656,Ectropion (HPO)
http://purl.obolibrary.org/obo/HP_0002007,Frontal bossing (HPO),http://purl.obolibrary.org/obo/MP_0030049,prominent forehead (MPO)
http://purl.obolibrary.org/obo/ZP_0007567,"vesicle-mediated transport process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0001752,vesicle trafficking variant (WBP)
http://purl.obolibrary.org/obo/WBPhenotype_0000147,organism starvation response variant (WBP),http://purl.obolibrary.org/obo/ZP_0009477,"response to starvation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0004349,absent femur (MPO),http://purl.obolibrary.org/obo/HP_0012744,Femoral aplasia (HPO)
http://purl.obolibrary.org/obo/HP_0000311,Round face (HPO),http://purl.obolibrary.org/obo/MP_0030072,round face (MPO)
http://purl.obolibrary.org/obo/ZP_0106016,"myelinating Schwann cell peripheral nervous system decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0007052,"myelinating Schwann cell decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0009276,ecchymosis (MPO),http://purl.obolibrary.org/obo/HP_0000978,Bruising susceptibility (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000816,neuron development variant (WBP),http://purl.obolibrary.org/obo/ZP_0004741,"neuron development process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0000062,increased bone mineral density (MPO),http://purl.obolibrary.org/obo/HP_0011001,Increased bone mineral density (HPO)
http://purl.obolibrary.org/obo/ZP_0001331,"axis shortened, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0006796,"axis whole organism shortened, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0008456,"myoseptum decreased thickness, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0010779,"myoseptum muscle decreased thickness, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0001193,psoriasis (MPO),http://purl.obolibrary.org/obo/HP_0003765,Psoriasiform dermatitis (HPO)
http://purl.obolibrary.org/obo/MP_0003066,increased liver copper level (MPO),http://purl.obolibrary.org/obo/HP_0025321,Copper accumulation in liver (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0002564,associative memory phenotype (WBP),http://purl.obolibrary.org/obo/ZP_0104033,"memory process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/PHIPO_0000285,abnormal cellular pigment accumulation (PHIPO),http://purl.obolibrary.org/obo/ZP_0010562,"pigment accumulation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0005479,decreased circulating triiodothyronine level (MPO),http://purl.obolibrary.org/obo/HP_0032210,Decreased circulating free T3 (HPO)
http://purl.obolibrary.org/obo/HP_0031377,Abnormal cell proliferation (HPO),http://purl.obolibrary.org/obo/ZP_0002435,"cell population proliferation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0106859,"neutrophil whole organism increased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0006155,"neutrophil increased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0004400,"somite absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0005153,"somite trunk absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0138963,decreased cell population proliferation in vitelline vein (XPO),http://purl.obolibrary.org/obo/XPO_0138477,decreased cell population proliferation in omphalomesenteric vein (XPO)
http://purl.obolibrary.org/obo/HP_0000089,Renal hypoplasia (HPO),http://purl.obolibrary.org/obo/MP_0003446,renal hypoplasia (MPO)
http://purl.obolibrary.org/obo/XPO_0131735,abnormal spindle assembly (XPO),http://purl.obolibrary.org/obo/ZP_0013336,"spindle assembly process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0014202,"melanocyte integument spatial pattern, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0000328,"melanocyte spatial pattern, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0011017,Abnormal cellular physiology (HPO),http://purl.obolibrary.org/obo/MP_0005621,abnormal cell physiology (MPO)
http://purl.obolibrary.org/obo/HP_0002795,Functional respiratory abnormality (HPO),http://purl.obolibrary.org/obo/MP_0002133,abnormal respiratory system physiology (MPO)
http://purl.obolibrary.org/obo/HP_0030344,Decreased circulating luteinizing hormone level (HPO),http://purl.obolibrary.org/obo/MP_0002773,decreased circulating luteinizing hormone level (MPO)
http://purl.obolibrary.org/obo/HP_3000062,Abnormal internal carotid artery morphology (HPO),http://purl.obolibrary.org/obo/MP_0012730,abnormal internal carotid artery morphology (MPO)
http://purl.obolibrary.org/obo/HP_0003297,Hyperlysinuria (HPO),http://purl.obolibrary.org/obo/MP_0020403,lysinuria (MPO)
http://purl.obolibrary.org/obo/HP_0010650,Hypoplasia of the premaxilla (HPO),http://purl.obolibrary.org/obo/MP_0004871,premaxilla hypoplasia (MPO)
http://purl.obolibrary.org/obo/MP_0010119,abnormal bone mineral density (MPO),http://purl.obolibrary.org/obo/HP_0004348,Abnormality of bone mineral density (HPO)
http://purl.obolibrary.org/obo/MP_0009445,osteomalacia (MPO),http://purl.obolibrary.org/obo/HP_0002749,Osteomalacia (HPO)
http://purl.obolibrary.org/obo/ZP_0002801,"cranial cartilage absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0016881,"cartilage element cranium absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0001674,telomere morphology variant (WBP),http://purl.obolibrary.org/obo/MP_0010207,abnormal telomere morphology (MPO)
http://purl.obolibrary.org/obo/MP_0003576,oviduct hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0008697,Hypoplasia of the fallopian tube (HPO)
http://purl.obolibrary.org/obo/HP_0012611,Increased urinary urate (HPO),http://purl.obolibrary.org/obo/MP_0011537,uraturia (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000880,axon development variant (WBP),http://purl.obolibrary.org/obo/ZP_0018279,"axon development process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0001386,Joint swelling (HPO),http://purl.obolibrary.org/obo/MP_0002936,joint swelling (MPO)
http://purl.obolibrary.org/obo/MP_0013658,abnormal myeloid cell morphology (MPO),http://purl.obolibrary.org/obo/HP_0020047,Abnormal myeloid cell morphology (HPO)
http://purl.obolibrary.org/obo/MP_0009944,abnormal olfactory lobe morphology (MPO),http://purl.obolibrary.org/obo/HP_0025057,Abnormality of olfactory lobe morphology (HPO)
http://purl.obolibrary.org/obo/PHIPO_0000268,abnormal pathogen host interaction vacuolar transport (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000267,abnormal vacuolar transport (PHIPO)
http://purl.obolibrary.org/obo/MP_0030687,increased circulating cystathionine level (MPO),http://purl.obolibrary.org/obo/HP_0003286,Cystathioninemia (HPO)
http://purl.obolibrary.org/obo/ZP_0005183,"intrahepatic bile duct liver and biliary system decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0002450,"intrahepatic bile duct decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0006084,abnormal circulating phospholipid level (MPO),http://purl.obolibrary.org/obo/HP_0040176,Abnormal circulating phospholipid concentration (HPO)
http://purl.obolibrary.org/obo/ZP_0110108,"endocardial ring quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0107782,"atrioventricular ring quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0017453,"blood circulation rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0000233,abnormal blood flow velocity (MPO)
http://purl.obolibrary.org/obo/HP_0002843,Abnormal T cell morphology (HPO),http://purl.obolibrary.org/obo/MP_0008037,abnormal T cell morphology (MPO)
http://purl.obolibrary.org/obo/HP_0001901,Polycythemia (HPO),http://purl.obolibrary.org/obo/MP_0002872,polycythemia (MPO)
http://purl.obolibrary.org/obo/HP_0011014,Abnormal glucose homeostasis (HPO),http://purl.obolibrary.org/obo/ZP_0019507,"glucose homeostasis process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0100268,abnormal circulatory system (XPO),http://purl.obolibrary.org/obo/XPO_0100363,abnormal cardiovascular system (XPO)
http://purl.obolibrary.org/obo/MP_0002495,increased IgA level (MPO),http://purl.obolibrary.org/obo/HP_0003261,Increased circulating IgA level (HPO)
http://purl.obolibrary.org/obo/HP_0000340,Sloping forehead (HPO),http://purl.obolibrary.org/obo/MP_0030048,sloping forehead (MPO)
http://purl.obolibrary.org/obo/MP_0005565,increased blood urea nitrogen level (MPO),http://purl.obolibrary.org/obo/HP_0003138,Increased blood urea nitrogen (HPO)
http://purl.obolibrary.org/obo/XPO_0131739,abnormal wound healing (XPO),http://purl.obolibrary.org/obo/ZP_0017218,"wound healing process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0012780,"melanocyte head amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0100134,"melanocyte amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FBcv_0000409,osmotic stress response defective (DPO),http://purl.obolibrary.org/obo/WBPhenotype_0000876,organism osmotic stress response variant (WBP)
http://purl.obolibrary.org/obo/ZP_0022720,"feeding behavior process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/FBcv_0000419,feeding behavior defective (DPO)
http://purl.obolibrary.org/obo/HP_0000526,Aniridia (HPO),http://purl.obolibrary.org/obo/MP_0005261,aniridia (MPO)
http://purl.obolibrary.org/obo/HP_0012086,Abnormal urinary color (HPO),http://purl.obolibrary.org/obo/MP_0003619,abnormal urine color (MPO)
http://purl.obolibrary.org/obo/HP_0010882,Pulmonary valve atresia (HPO),http://purl.obolibrary.org/obo/MP_0006130,pulmonary valve atresia (MPO)
http://purl.obolibrary.org/obo/MP_0005618,decreased urine potassium level (MPO),http://purl.obolibrary.org/obo/HP_0012364,Decreased urinary potassium (HPO)
http://purl.obolibrary.org/obo/ZP_0002315,"ossification delayed, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0000060,delayed bone ossification (MPO)
http://purl.obolibrary.org/obo/ZP_0004383,"locomotory behavior decreased occurrence, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0141274,decreased locomotory behavior (XPO)
http://purl.obolibrary.org/obo/MP_0005355,enlarged thyroid gland (MPO),http://purl.obolibrary.org/obo/HP_0000853,Goiter (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000674,slow development (WBP),http://purl.obolibrary.org/obo/ZP_0014134,"developmental process decreased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0000615,cilia morphology variant (WBP),http://purl.obolibrary.org/obo/MP_0013202,abnormal cilium morphology (MPO)
http://purl.obolibrary.org/obo/ZP_0000751,"nucleate erythrocyte absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0004524,"nucleate erythrocyte blood absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0015880,"leucine metabolic process process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0004357,Abnormal circulating leucine concentration (HPO)
http://purl.obolibrary.org/obo/ZP_0005625,"alkaline phosphatase activity process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0004379,Abnormality of alkaline phosphatase activity (HPO)
http://purl.obolibrary.org/obo/MP_0001731,abnormal postnatal growth (MPO),http://purl.obolibrary.org/obo/ZP_0014975,"growth quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0000158,Macroglossia (HPO),http://purl.obolibrary.org/obo/MP_0009906,increased tongue size (MPO)
http://purl.obolibrary.org/obo/FBcv_0000725,oxidative stress response defective (DPO),http://purl.obolibrary.org/obo/WBPhenotype_0001620,organism oxidative stress response variant (WBP)
http://purl.obolibrary.org/obo/ZP_0004664,"EVL whole organism cellular motility, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0008579,"EVL cellular motility, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0002408,cytokinesis variant (WBP),http://purl.obolibrary.org/obo/ZP_0011560,"cytokinesis process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FBcv_0006004,oviposition defective (DPO),http://purl.obolibrary.org/obo/WBPhenotype_0000640,egg laying variant (WBP)
http://purl.obolibrary.org/obo/MP_0000149,abnormal scapula morphology (MPO),http://purl.obolibrary.org/obo/HP_0000782,Abnormality of the scapula (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000666,ovulation variant (WBP),http://purl.obolibrary.org/obo/ZP_0019910,"ovulation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0135240,increased cell population proliferation in peripheral nerve (XPO),http://purl.obolibrary.org/obo/XPO_0135514,increased cell population proliferation in nerve (XPO)
http://purl.obolibrary.org/obo/ZP_0014893,"response to gamma radiation process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000497,organism gamma ray response variant (WBP)
http://purl.obolibrary.org/obo/HP_0006956,Dilation of lateral ventricles (HPO),http://purl.obolibrary.org/obo/MP_0000825,dilated lateral ventricles (MPO)
http://purl.obolibrary.org/obo/MP_0000866,cerebellum vermis hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0001320,Cerebellar vermis hypoplasia (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000031,slow growth (WBP),http://purl.obolibrary.org/obo/MP_0001732,postnatal growth retardation (MPO)
http://purl.obolibrary.org/obo/HP_0003154,Increased circulating ACTH level (HPO),http://purl.obolibrary.org/obo/MP_0001748,increased circulating adrenocorticotropin level (MPO)
http://purl.obolibrary.org/obo/HP_0011373,Incomplete partition of the cochlea (HPO),http://purl.obolibrary.org/obo/MP_0003148,decreased cochlear coiling (MPO)
http://purl.obolibrary.org/obo/MP_0005144,abnormal circulating VLDL cholesterol level (MPO),http://purl.obolibrary.org/obo/HP_0031889,Abnormal VLDL cholesterol concentration (HPO)
http://purl.obolibrary.org/obo/ZP_0100294,"visual perception absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0000618,Blindness (HPO)
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy (HPO),http://purl.obolibrary.org/obo/MP_0003205,testicular atrophy (MPO)
http://purl.obolibrary.org/obo/HP_0011281,Abnormality of urine catecholamine concentration (HPO),http://purl.obolibrary.org/obo/MP_0011478,abnormal urine catecholamine level (MPO)
http://purl.obolibrary.org/obo/MP_0005416,abnormal circulating protein level (MPO),http://purl.obolibrary.org/obo/HP_0010876,Abnormal circulating protein level (HPO)
http://purl.obolibrary.org/obo/XPO_0132092,abnormal development of cardiovascular system (XPO),http://purl.obolibrary.org/obo/XPO_0131952,abnormal development of circulatory system (XPO)
http://purl.obolibrary.org/obo/HP_0011015,Abnormal blood glucose concentration (HPO),http://purl.obolibrary.org/obo/MP_0000188,abnormal circulating glucose level (MPO)
http://purl.obolibrary.org/obo/ZP_0017715,"protein kinase B signaling process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131727,abnormal protein kinase B signaling (XPO)
http://purl.obolibrary.org/obo/ZP_0004981,"nucleate erythrocyte blood decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0000396,"nucleate erythrocyte decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0000727,"absent CD8-positive, alpha-beta T cells (MPO)",http://purl.obolibrary.org/obo/HP_0005422,Absence of CD8-positive T cells (HPO)
http://purl.obolibrary.org/obo/HP_0012444,Brain atrophy (HPO),http://purl.obolibrary.org/obo/MP_0012506,brain atrophy (MPO)
http://purl.obolibrary.org/obo/MP_0030655,increased circulating glycine level (MPO),http://purl.obolibrary.org/obo/HP_0002154,Hyperglycinemia (HPO)
http://purl.obolibrary.org/obo/MP_0030064,small face (MPO),http://purl.obolibrary.org/obo/HP_0000274,Small face (HPO)
http://purl.obolibrary.org/obo/MP_0030644,increased circulating methionine level (MPO),http://purl.obolibrary.org/obo/HP_0003235,Hypermethioninemia (HPO)
http://purl.obolibrary.org/obo/MP_0006045,mitral valve regurgitation (MPO),http://purl.obolibrary.org/obo/HP_0001653,Mitral regurgitation (HPO)
http://purl.obolibrary.org/obo/MP_0002490,abnormal immunoglobulin level (MPO),http://purl.obolibrary.org/obo/HP_0010701,Abnormal immunoglobulin level (HPO)
http://purl.obolibrary.org/obo/HP_0040318,Red urine (HPO),http://purl.obolibrary.org/obo/MP_0011414,erythruria (MPO)
http://purl.obolibrary.org/obo/MP_0000807,abnormal hippocampus morphology (MPO),http://purl.obolibrary.org/obo/HP_0025100,Abnormal morphology of the hippocampus (HPO)
http://purl.obolibrary.org/obo/XPO_0131720,abnormal mitotic spindle assembly (XPO),http://purl.obolibrary.org/obo/ZP_0005852,"mitotic spindle assembly process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0002575,Tracheoesophageal fistula (HPO),http://purl.obolibrary.org/obo/MP_0003321,tracheoesophageal fistula (MPO)
http://purl.obolibrary.org/obo/HP_0000348,High forehead (HPO),http://purl.obolibrary.org/obo/MP_0030032,high forehead (MPO)
http://purl.obolibrary.org/obo/MP_0000198,decreased circulating phosphate level (MPO),http://purl.obolibrary.org/obo/HP_0002148,Hypophosphatemia (HPO)
http://purl.obolibrary.org/obo/HP_0002006,Facial cleft (HPO),http://purl.obolibrary.org/obo/MP_0008797,facial cleft (MPO)
http://purl.obolibrary.org/obo/XPO_0103443,abnormal dorsal/ventral axis specification (XPO),http://purl.obolibrary.org/obo/FBcv_0000324,dorsal/ventral axis specification defective (DPO)
http://purl.obolibrary.org/obo/HP_0012405,Hypocitraturia (HPO),http://purl.obolibrary.org/obo/MP_0030779,decreased urine citrate level (MPO)
http://purl.obolibrary.org/obo/MP_0006222,optic neuropathy (MPO),http://purl.obolibrary.org/obo/HP_0001138,Optic neuropathy (HPO)
http://purl.obolibrary.org/obo/MP_0002644,decreased circulating triglyceride level (MPO),http://purl.obolibrary.org/obo/HP_0012153,Hypotriglyceridemia (HPO)
http://purl.obolibrary.org/obo/MP_0005156,bradykinesia (MPO),http://purl.obolibrary.org/obo/HP_0002375,Hypokinesia (HPO)
http://purl.obolibrary.org/obo/MP_0002496,increased IgD level (MPO),http://purl.obolibrary.org/obo/HP_0410246,Increased circulating IgD level (HPO)
http://purl.obolibrary.org/obo/MP_0005193,abnormal anterior eye segment morphology (MPO),http://purl.obolibrary.org/obo/HP_0004328,Abnormal anterior eye segment morphology (HPO)
http://purl.obolibrary.org/obo/MP_0004792,abnormal synaptic vesicle number (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0001669,presynaptic vesicle number variant (WBP)
http://purl.obolibrary.org/obo/ZP_0101525,"skeletal muscle cell skeletal muscle disorganized, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0006837,"skeletal muscle cell disorganized, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0020202,abnormal macrophage cell number (MPO),http://purl.obolibrary.org/obo/HP_0030326,Abnormal macrophage count (HPO)
http://purl.obolibrary.org/obo/PHIPO_0000821,sensitive to cefuroximel (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000841,sensitive to cefuroxime (PHIPO)
http://purl.obolibrary.org/obo/MP_0030067,narrow face (MPO),http://purl.obolibrary.org/obo/HP_0000275,Narrow face (HPO)
http://purl.obolibrary.org/obo/MP_0004166,abnormal limbic system morphology (MPO),http://purl.obolibrary.org/obo/HP_0007343,Abnormal morphology of the limbic system (HPO)
http://purl.obolibrary.org/obo/HP_0410240,Abnormal IgA level (HPO),http://purl.obolibrary.org/obo/MP_0020171,abnormal IgA level (MPO)
http://purl.obolibrary.org/obo/ZP_0017829,"renal glomerular capsule increased size, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0130889,"pronephric glomerular capsule increased size, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0005852,"mitotic spindle assembly process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131720,abnormal mitotic spindle assembly (XPO)
http://purl.obolibrary.org/obo/MP_0001334,absent optic tract (MPO),http://purl.obolibrary.org/obo/HP_0010999,Aplasia of the optic tract (HPO)
http://purl.obolibrary.org/obo/HP_0000502,Abnormal conjunctiva morphology (HPO),http://purl.obolibrary.org/obo/MP_0001310,abnormal conjunctiva morphology (MPO)
http://purl.obolibrary.org/obo/MP_0005152,pancytopenia (MPO),http://purl.obolibrary.org/obo/HP_0001876,Pancytopenia (HPO)
http://purl.obolibrary.org/obo/HP_0002949,Fused cervical vertebrae (HPO),http://purl.obolibrary.org/obo/MP_0004620,cervical vertebral fusion (MPO)
http://purl.obolibrary.org/obo/ZP_0100605,"neutrophil whole organism amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0100243,"neutrophil amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0005222,Bowel diverticulosis (HPO),http://purl.obolibrary.org/obo/MP_0003262,intestinal/bowel diverticulum (MPO)
http://purl.obolibrary.org/obo/HP_0010048,Aplasia of metacarpal bones (HPO),http://purl.obolibrary.org/obo/MP_0003074,absent metacarpal bones (MPO)
http://purl.obolibrary.org/obo/MP_0003611,scrotum hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0000046,Scrotal hypoplasia (HPO)
http://purl.obolibrary.org/obo/ZP_0017051,"neural tube closure process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0045005,Neural tube defect (HPO)
http://purl.obolibrary.org/obo/MP_0008822,decreased blood uric acid level (MPO),http://purl.obolibrary.org/obo/HP_0003537,Hypouricemia (HPO)
http://purl.obolibrary.org/obo/HP_0000358,Posteriorly rotated ears (HPO),http://purl.obolibrary.org/obo/MP_0003715,posteriorly rotated ears (MPO)
http://purl.obolibrary.org/obo/HP_0003159,Hyperoxaluria (HPO),http://purl.obolibrary.org/obo/MP_0011517,hyperoxaluria (MPO)
http://purl.obolibrary.org/obo/ZP_0005561,"spermatogonium testis increased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0005979,"spermatogonium increased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0030201,absent nasal septum cartilage (MPO),http://purl.obolibrary.org/obo/HP_0005273,Absent nasal septal cartilage (HPO)
